date,value
2014-01-01,124
2014-01-02,133
2014-01-03,153
2014-01-04,136
2014-01-05,134
2014-01-06,167
2014-01-07,140
2014-01-08,107
2014-01-09,120
2014-01-10,137
2014-01-11,142
2014-01-12,133
2014-01-13,117
2014-01-14,96
2014-01-15,93
2014-01-16,80
2014-01-17,74
2014-01-18,116
2014-01-19,110
2014-01-20,133
2014-01-21,129
2014-01-22,154
2014-01-23,146
2014-01-24,116
2014-01-25,100
2014-01-26,97
2014-01-27,76
2014-01-28,77
2014-01-29,94
2014-01-30,99
2014-01-31,93
2014-02-01,94
2014-02-02,118
2014-02-03,127
2014-02-04,144
2014-02-05,167
2014-02-06,171
2014-02-07,147
2014-02-08,147
2014-02-09,147
2014-02-10,137
2014-02-11,158
2014-02-12,161
2014-02-13,147
2014-02-14,130
2014-02-15,113
2014-02-16,103
2014-02-17,106
2014-02-18,127
2014-02-19,126
2014-02-20,133
2014-02-21,136
2014-02-22,146
2014-02-23,158
2014-02-24,153
2014-02-25,171
2014-02-26,207
2014-02-27,220
2014-02-28,196
2014-03-01,155
2014-03-02,158
2014-03-03,161
2014-03-04,141
2014-03-05,154
2014-03-06,127
2014-03-07,134
2014-03-08,116
2014-03-09,111
2014-03-10,113
2014-03-11,111
2014-03-12,132
2014-03-13,112
2014-03-14,109
2014-03-15,111
2014-03-16,122
2014-03-17,126
2014-03-18,136
2014-03-19,141
2014-03-20,139
2014-03-21,126
2014-03-22,146
2014-03-23,151
2014-03-24,137
2014-03-25,136
2014-03-26,112
2014-03-27,115
2014-03-28,122
2014-03-29,118
2014-03-30,101
2014-03-31,118
2014-04-01,96
2014-04-02,114
2014-04-03,133
2014-04-04,158
2014-04-05,135
2014-04-06,121
2014-04-07,114
2014-04-08,117
2014-04-09,94
2014-04-10,65
2014-04-11,61
2014-04-12,73
2014-04-13,80
2014-04-14,105
2014-04-15,145
2014-04-16,187
2014-04-17,199
2014-04-18,178
2014-04-19,178
2014-04-20,173
2014-04-21,150
2014-04-22,123
2014-04-23,85
2014-04-24,72
2014-04-25,57
2014-04-26,45
2014-04-27,77
2014-04-28,80
2014-04-29,77
2014-04-30,82
2014-05-01,88
2014-05-02,115
2014-05-03,123
2014-05-04,127
2014-05-05,142
2014-05-06,148
2014-05-07,120
2014-05-08,132
2014-05-09,139
2014-05-10,123
2014-05-11,150
2014-05-12,154
2014-05-13,133
2014-05-14,166
2014-05-15,156
2014-05-16,133
2014-05-17,151
2014-05-18,138
2014-05-19,102
2014-05-20,87
2014-05-21,85
2014-05-22,66
2014-05-23,91
2014-05-24,109
2014-05-25,109
2014-05-26,91
2014-05-27,78
2014-05-28,70
2014-05-29,48
2014-05-30,55
2014-05-31,57
2014-06-01,64
2014-06-02,62
2014-06-03,74
2014-06-04,64
2014-06-05,87
2014-06-06,119
2014-06-07,133
2014-06-08,142
2014-06-09,156
2014-06-10,162
2014-06-11,174
2014-06-12,197
2014-06-13,182
2014-06-14,137
2014-06-15,74
2014-06-16,84
2014-06-17,95
2014-06-18,120
2014-06-19,95
2014-06-20,80
2014-06-21,93
2014-06-22,90
2014-06-23,77
2014-06-24,40
2014-06-25,55
2014-06-26,67
2014-06-27,67
2014-06-28,71
2014-06-29,93
2014-06-30,132
2014-07-01,134
2014-07-02,145
2014-07-03,167
2014-07-04,172
2014-07-05,194
2014-07-06,185
2014-07-07,197
2014-07-08,183
2014-07-09,162
2014-07-10,161
2014-07-11,144
2014-07-12,119
2014-07-13,86
2014-07-14,62
2014-07-15,18
2014-07-16,10
2014-07-17,0
2014-07-18,15
2014-07-19,35
2014-07-20,35
2014-07-21,17
2014-07-22,39
2014-07-23,65
2014-07-24,62
2014-07-25,64
2014-07-26,58
2014-07-27,78
2014-07-28,109
2014-07-29,137
2014-07-30,122
2014-07-31,131
2014-08-01,165
2014-08-02,165
2014-08-03,153
2014-08-04,146
2014-08-05,128
2014-08-06,113
2014-08-07,123
2014-08-08,89
2014-08-09,83
2014-08-10,62
2014-08-11,69
2014-08-12,75
2014-08-13,79
2014-08-14,86
2014-08-15,107
2014-08-16,109
2014-08-17,116
2014-08-18,105
2014-08-19,93
2014-08-20,102
2014-08-21,120
2014-08-22,125
2014-08-23,150
2014-08-24,149
2014-08-25,116
2014-08-26,86
2014-08-27,95
2014-08-28,82
2014-08-29,66
2014-08-30,76
2014-08-31,82
2014-09-01,96
2014-09-02,110
2014-09-03,102
2014-09-04,120
2014-09-05,116
2014-09-06,142
2014-09-07,165
2014-09-08,154
2014-09-09,175
2014-09-10,169
2014-09-11,160
2014-09-12,126
2014-09-13,125
2014-09-14,104
2014-09-15,94
2014-09-16,114
2014-09-17,123
2014-09-18,82
2014-09-19,79
2014-09-20,80
2014-09-21,95
2014-09-22,101
2014-09-23,119
2014-09-24,108
2014-09-25,144
2014-09-26,165
2014-09-27,181
2014-09-28,193
2014-09-29,180
2014-09-30,178
2014-10-01,135
2014-10-02,126
2014-10-03,117
2014-10-04,105
2014-10-05,89
2014-10-06,68
2014-10-07,68
2014-10-08,74
2014-10-09,59
2014-10-10,36
2014-10-11,30
2014-10-12,30
2014-10-13,42
2014-10-14,74
2014-10-15,89
2014-10-16,70
2014-10-17,64
2014-10-18,61
2014-10-19,92
2014-10-20,110
2014-10-21,107
2014-10-22,123
2014-10-23,132
2014-10-24,138
2014-10-25,136
2014-10-26,132
2014-10-27,107
2014-10-28,101
2014-10-29,92
